日期,信准明汯500指数增强(SEE851),宽投瑞安1号私募投资基金(SLR574),行知星享因诺兴泰进取2号1期(SSN701),华泰尊享1号集合资产管理计划241期,浦银安盛沪深300指数增强(519116),易方达均衡成长股票型证券投资基金(009341),兴全趋势(163402),国金量化精选混合A(014805)
2020-01-02,,,,,1.749,,0.7513,
2020-01-03,,,,,1.744,,0.7504,
2020-01-06,,,,,1.736,,0.7535,
2020-01-07,,,,,1.749,,0.7546,
2020-01-08,,,,,1.727,,0.7465,
2020-01-09,,,,,1.747,,0.756,
2020-01-10,,,,,1.749,,0.757,
2020-01-13,,,,,1.763,,0.7632,
2020-01-14,,,,,1.755,,0.7604,
2020-01-15,,,,,1.747,,0.7586,
2020-01-16,,,,,1.74,,0.7577,
2020-01-17,,,,,1.745,,0.7626,
2020-01-20,1.9636,,,,1.76,,0.7656,
2020-01-21,,,,,1.732,,0.7529,
2020-01-22,,,,,1.74,,0.7632,
2020-01-23,,,,,1.694,,0.7464,
2020-01-29,,,,,,,,
2020-02-03,,,,,1.569,,0.7048,
2020-02-04,,,,,1.611,,0.7299,
2020-02-05,,,,,1.627,,0.7413,
2020-02-06,,,,,1.653,,0.7605,
2020-02-07,,,,,1.654,,0.7636,
2020-02-10,,,,,1.66,,0.7734,
2020-02-11,,,,,1.675,,0.7752,
2020-02-12,,,,,1.685,,0.7779,
2020-02-13,,,,,1.678,,0.7772,
2020-02-14,,,,,1.688,,0.7831,
2020-02-17,,,,,1.727,,0.7983,
2020-02-18,,,,,1.718,,0.8032,
2020-02-19,,,,,1.717,,0.8013,
2020-02-20,,,,,1.751,,0.8126,
2020-02-21,,,,,1.76,,0.8146,
2020-02-24,,,,,1.753,,0.8177,
2020-02-25,,,,,1.744,,0.8211,
2020-02-26,,,,,1.725,,0.8123,
2020-02-27,,,,,1.734,,0.817,
2020-02-28,,,,,1.683,,0.7934,
2020-03-02,,,,,1.644,,0.819,
2020-03-03,,,,,1.648,,0.8201,
2020-03-04,,,,,1.657,,0.83,
2020-03-05,,,,,1.691,,0.8394,
2020-03-06,,,,,1.665,,0.8322,
2020-03-09,,,,,1.609,,0.8031,
2020-03-10,,,,,1.641,,0.8178,
2020-03-11,,,,,1.621,,0.8102,
2020-03-12,,,,,1.588,,0.7974,
2020-03-13,,,,,1.565,,0.791,
2020-03-14,,,,,,,,
2020-03-16,,,,,1.5,,0.7558,
